ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,20200225,5.6,5.85,5.44,5.83,5.75,0.08000000000000007,1.3913,20402614.89,11613838.713
000725.SZ,20200224,5.49,5.77,5.42,5.75,5.35,0.40000000000000036,7.4766,19603493.2,10977999.31
000725.SZ,20200221,5.45,5.65,5.34,5.35,5.34,0.009999999999999787,0.1873,19183246.91,10468709.476
000725.SZ,20200220,5.01,5.4,4.96,5.34,4.96,0.3799999999999999,7.6613,20172162.04,10457039.202
000725.SZ,20200219,5.09,5.13,4.96,4.96,5.06,-0.09999999999999964,-1.9763,10543389.22,5305803.335
000725.SZ,20200218,4.92,5.11,4.88,5.06,4.91,0.14999999999999947,3.055,15786928.38,7887316.975
000725.SZ,20200217,4.68,4.94,4.67,4.91,4.68,0.23000000000000043,4.9145,13089463.28,6297370.988
000725.SZ,20200214,4.7,4.76,4.64,4.68,4.72,-0.040000000000000036,-0.8475,7186887.3,3372674.651
000725.SZ,20200213,4.74,4.8,4.67,4.72,4.76,-0.040000000000000036,-0.8403,7770056.82,3668883.11
000725.SZ,20200212,4.71,4.77,4.66,4.76,4.75,0.009999999999999787,0.2105,7061653.93,3328113.389
000725.SZ,20200211,4.73,4.81,4.69,4.75,4.75,0.0,0.0,6862059.28,3263428.811
000725.SZ,20200210,4.6,4.85,4.58,4.75,4.66,0.08999999999999986,1.9313,8637977.73,4085855.392
000725.SZ,20200207,4.65,4.7,4.57,4.66,4.67,-0.009999999999999787,-0.2141,8303380.78,3855046.625
000725.SZ,20200206,4.4,4.7,4.33,4.67,4.42,0.25,5.6561,13497897.69,6174726.92
000725.SZ,20200205,4.39,4.56,4.37,4.42,4.41,0.009999999999999787,0.2268,10674127.67,4763540.244
000725.SZ,20200204,4.03,4.45,4.03,4.41,4.25,0.16000000000000014,3.7647,14891456.94,6406117.176
000725.SZ,20200203,4.25,4.25,4.25,4.25,4.72,-0.46999999999999975,-9.9576,1544089.0,656237.825
000725.SZ,20200123,4.81,4.96,4.61,4.72,4.92,-0.20000000000000018,-4.065,10682195.16,5108272.033
000725.SZ,20200122,4.97,4.98,4.75,4.92,4.97,-0.04999999999999982,-1.006,8895724.76,4330700.981
000725.SZ,20200121,5.0,5.03,4.93,4.97,4.98,-0.010000000000000675,-0.2008,8031574.06,4005605.391
000725.SZ,20200120,4.81,5.0,4.79,4.98,4.83,0.15000000000000036,3.1056,8896416.51,4374171.42
000725.SZ,20200117,4.9,4.91,4.81,4.83,4.89,-0.05999999999999961,-1.227,4917507.82,2388501.348
000725.SZ,20200116,4.9,4.93,4.84,4.89,4.88,0.009999999999999787,0.2049,4873499.43,2378049.782
000725.SZ,20200115,4.93,4.93,4.82,4.88,4.96,-0.08000000000000007,-1.6129,7156022.09,3476076.827
000725.SZ,20200114,4.92,5.02,4.89,4.96,4.94,0.019999999999999574,0.4049,7731661.9,3834915.414
000725.SZ,20200113,4.94,4.95,4.82,4.94,4.95,-0.009999999999999787,-0.202,7864806.09,3845497.21
000725.SZ,20200110,5.03,5.05,4.88,4.95,5.0,-0.04999999999999982,-1.0,7030938.37,3467765.356
000725.SZ,20200109,5.06,5.12,4.93,5.0,4.96,0.040000000000000036,0.8065,10964084.83,5495429.974
000725.SZ,20200108,4.82,5.13,4.79,4.96,4.68,0.28000000000000025,5.9829,21827493.23,10757770.424
000725.SZ,20200107,4.73,4.77,4.65,4.68,4.71,-0.03000000000000025,-0.6369,6537647.13,3072428.716
000725.SZ,20200106,4.67,4.8,4.63,4.71,4.73,-0.020000000000000462,-0.4228,9472785.02,4471327.996
000725.SZ,20200103,4.62,4.76,4.59,4.73,4.61,0.1200000000000001,2.603,9945405.63,4667172.017
