ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000676.SZ,20200225,9.77,9.95,9.34,9.85,10.1,-0.25,-2.4752,578987.31,560804.731
000676.SZ,20200224,9.78,10.25,9.68,10.1,10.0,0.09999999999999964,1.0,709920.32,707389.675
000676.SZ,20200221,9.41,10.03,9.33,10.0,9.45,0.5500000000000007,5.8201,748541.34,732793.229
000676.SZ,20200220,9.33,9.49,9.16,9.45,9.33,0.11999999999999922,1.2862,370811.43,346884.882
000676.SZ,20200219,9.61,9.7,9.3,9.33,9.74,-0.41000000000000014,-4.2094,415981.56,394770.279
000676.SZ,20200218,9.44,9.84,9.23,9.74,9.35,0.39000000000000057,4.1711,590694.68,563717.721
000676.SZ,20200217,9.03,9.38,9.03,9.35,9.07,0.27999999999999936,3.0871,356992.35,330419.575
000676.SZ,20200214,8.97,9.27,8.91,9.07,9.25,-0.17999999999999972,-1.9459,370436.06,336790.989
000676.SZ,20200213,9.6,9.78,9.23,9.25,9.22,0.02999999999999936,0.3254,499790.43,474051.347
000676.SZ,20200212,9.03,9.25,9.03,9.22,9.0,0.22000000000000064,2.4444,301902.33,276816.385
000676.SZ,20200211,9.31,9.35,8.91,9.0,9.19,-0.1899999999999995,-2.0675,290750.9,262408.344
000676.SZ,20200210,9.16,9.36,9.03,9.19,9.17,0.019999999999999574,0.2181,354699.88,325963.538
000676.SZ,20200207,8.8,9.25,8.7,9.17,8.8,0.3699999999999992,4.2045,467520.57,425256.498
000676.SZ,20200206,8.56,8.9,8.42,8.8,8.45,0.3500000000000014,4.142,393168.61,343836.598
000676.SZ,20200205,8.23,8.67,8.22,8.45,8.13,0.3199999999999985,3.936,397366.68,336764.648
000676.SZ,20200204,7.61,8.33,7.61,8.13,8.46,-0.33000000000000007,-3.9007,416948.7,337246.874
000676.SZ,20200203,8.46,8.46,8.46,8.46,9.4,-0.9399999999999995,-10.0,21311.0,18029.106
